k,x_min,y_min,log_height_over_log_k
196,-3,13,0.486
197,-1,14,0.5
198,3,15,0.512
199,5,18,0.546
204,-2,14,0.496
206,-5,9,0.412
208,-4,12,0.466
216,-6,0,0.333
217,-6,1,0.333
220,-6,2,0.332
223,-3,14,0.488
224,1,15,0.5
225,-6,3,0.331
226,-1,15,0.5
229,3,16,0.51
232,-6,4,0.329
233,-4,13,0.471
236,5,19,0.539
241,-6,5,0.327
246,-5,11,0.436
248,2,16,0.503
249,28,149,0.907
251,25,126,0.875
252,-6,6,0.324
255,1,16,0.5
256,0,16,0.5
257,-1,16,0.5
260,-4,14,0.475
262,3,17,0.509
264,-2,16,0.497
265,-6,7,0.349
268,6,22,0.553
269,-5,12,0.444
271,17,72,0.763
272,8,28,0.594
275,5,20,0.533
280,-6,8,0.369
281,2,17,0.502
282,7,25,0.571
283,-3,16,0.491
288,1,17,0.5
289,-4,15,0.478
290,-1,17,0.5
294,-5,13,0.451
295,9,32,0.609
296,10,36,0.63
297,-6,9,0.386
303,13,50,0.685
313,6,23,0.546
316,-6,10,0.4
320,-4,16,0.481
321,-5,14,0.457
323,1,18,0.5
324,0,18,0.5
325,-1,18,0.5
329,8,29,0.581
332,-2,18,0.498
333,7,26,0.561
334,3,19,0.507
336,4,20,0.515
337,-6,11,0.412
343,-7,0,0.333
344,-7,1,0.333
346,15,61,0.703
347,-7,2,0.333
350,-5,15,0.462
351,-3,18,0.493
352,-7,3,0.332
353,-4,17,0.483
356,32,182,0.886
359,-7,4,0.331
360,-6,12,0.422
361,0,19,0.5
362,-1,19,0.5
366,19,85,0.753
368,-7,5,0.329
369,-2,19,0.498
373,3,20,0.506
377,4,21,0.513
379,-7,6,0.328
380,26,134,0.825
381,-5,16,0.467
385,-6,13,0.431
386,7,27,0.553
388,-4,18,0.485
389,35,208,0.895
392,-7,7,0.326
393,16,67,0.704
396,70,586,1.066
399,1,20,0.5
400,0,20,0.5
401,-1,20,0.5
404,5,23,0.522
406,107,1107,1.167
407,-7,8,0.346
408,-2,20,0.498
409,6,25,0.535
412,-6,14,0.438
414,-5,17,0.47
416,17,73,0.711
420,4,22,0.512
423,37,226,0.896
424,-7,9,0.363
425,-4,19,0.487
427,-3,20,0.495
433,2,21,0.502
440,1,21,0.5
441,-6,15,0.445
442,-1,21,0.5
443,-7,10,0.378
444,10,38,0.597
449,-5,18,0.473
451,5,24,0.52
457,3,22,0.505
460,6,26,0.531
464,-7,11,0.391
465,4,23,0.51
468,-3,21,0.495
469,15,62,0.671
472,-6,16,0.45
476,2,22,0.501
481,12,47,0.623
483,1,22,0.5
484,0,22,0.5
485,-1,22,0.5
486,-5,19,0.476
487,-7,12,0.402
492,-2,22,0.499
496,9,35,0.573
498,7,29,0.542
500,5,25,0.518
502,3,23,0.504
504,25,127,0.778
505,-6,17,0.455
506,47,323,0.928
507,13,52,0.634
511,-3,22,0.496
512,-8,0,0.333
513,-8,1,0.333
516,-8,2,0.333
518,11,43,0.602
519,133,1534,1.173
521,-8,3,0.332
525,-5,20,0.478
528,-8,4,0.332
529,0,23,0.5
530,-1,23,0.5
531,85,784,1.062
537,-8,5,0.331
539,-7,14,0.42
540,-6,18,0.459
544,33,191,0.834
545,74,637,1.025
548,-8,6,0.33
549,3,24,0.504
551,5,26,0.516
556,-3,23,0.496
557,7,30,0.538
561,-8,7,0.329
563,17,74,0.68
566,-5,21,0.48
567,9,36,0.565
568,-7,15,0.427
574,51,365,0.929
575,1,24,0.5
576,-8,8,0.327
577,-6,19,0.463
582,43,283,0.887
584,-2,24,0.499
588,22,106,0.731
593,-8,9,0.344
594,15,63,0.649
598,3,25,0.503
599,-7,16,0.434
600,10,40,0.577
602,23,113,0.739
603,-3,24,0.496
604,5,27,0.515
605,11,44,0.591
609,-5,22,0.482
612,-8,10,0.359
616,-6,20,0.466
617,2,25,0.501
618,7,31,0.534
620,14,58,0.632
622,219,3241,1.257
624,1,25,0.5
625,0,25,0.5
626,-1,25,0.5
631,89,840,1.044
632,-7,17,0.439
633,-8,11,0.372
635,269,4412,1.3
638,67,549,0.977
640,-4,24,0.492
644,8,34,0.545
649,3,26,0.503
652,-3,25,0.497
654,-5,23,0.484
656,-8,12,0.383
657,-6,21,0.469
659,5,28,0.513
665,4,27,0.507
667,-7,18,0.444
668,2,26,0.501
673,12,49,0.598
675,1,26,0.5
676,0,26,0.5
677,-1,26,0.5
681,-8,13,0.393
684,-2,26,0.499
686,179,2395,1.191
687,49,344,0.894
689,-4,25,0.493
694,11,45,0.582
696,34,200,0.809
700,-6,22,0.472
701,-5,24,0.485
702,3,27,0.503
703,-3,26,0.497
704,-7,19,0.449
706,39,245,0.839
708,-8,14,0.402
710,19,87,0.68
712,17,75,0.657
713,8,35,0.541
715,9,38,0.553
716,5,29,0.512
719,13,54,0.606
720,4,28,0.506
721,2,27,0.501
728,1,27,0.5
729,-9,0,0.333
730,-9,1,0.333
733,-9,2,0.333
737,-8,15,0.41
738,-9,3,0.333
739,21,100,0.697
740,-4,26,0.493
743,-7,20,0.453
745,-9,4,0.332
746,7,33,0.529
748,86,798,1.01
750,-5,25,0.486
754,-9,5,0.332
756,-3,27,0.497
757,3,28,0.503
759,25,128,0.732
764,10,42,0.563
765,-9,6,0.331
766,27,143,0.747
768,-8,16,0.417
772,12,50,0.588
775,5,30,0.511
776,2,28,0.501
777,4,29,0.506
778,-9,7,0.33
783,1,28,0.5
784,-7,21,0.457
785,-1,28,0.5
792,-6,24,0.476
793,-9,8,0.329
801,-8,17,0.424
804,16,70,0.635
806,35,209,0.798
808,6,32,0.518
810,-9,9,0.328
811,-3,28,0.497
812,149,1819,1.12
813,7,34,0.526
814,3,29,0.502
817,24,121,0.715
824,38,236,0.814
827,-7,22,0.46
828,13,55,0.596
829,-9,10,0.343
833,2,29,0.501
834,31,175,0.768
836,-8,18,0.43
840,1,29,0.5
841,-6,25,0.478
842,-1,29,0.5
848,-4,28,0.494
849,-2,29,0.499
850,-9,11,0.355
854,-5,27,0.488
856,14,60,0.606
857,8,37,0.535
863,17,76,0.641
868,-3,29,0.498
871,9,40,0.545
872,-7,23,0.463
873,-9,12,0.367
876,37,227,0.801
878,11,47,0.568
882,7,35,0.524
885,19,88,0.66
889,30,167,0.754
890,71,599,0.942
892,-6,26,0.48
897,4,31,0.505
898,-9,13,0.377
899,1,30,0.5
900,0,30,0.5
901,-1,30,0.5
905,-4,29,0.495
906,55,409,0.883
908,-2,30,0.499
909,-5,28,0.489
912,-8,20,0.44
919,-7,24,0.466
920,26,136,0.72
925,-9,14,0.386
927,-3,30,0.498
932,8,38,0.532
934,3,31,0.502
936,10,44,0.553
939,13,56,0.588
940,6,34,0.515
945,-6,27,0.481
952,9,41,0.541
953,-8,21,0.444
954,-9,15,0.395
960,1,31,0.5
961,0,31,0.5
962,-1,31,0.5
964,-4,30,0.495
966,-5,29,0.49
967,69,574,0.924
968,-7,25,0.468
969,-2,31,0.499
971,265,4314,1.217
973,11,48,0.563
976,12,52,0.574
977,14,61,0.597
981,15,66,0.608
985,-9,16,0.402
988,-3,31,0.498
996,-8,22,0.448
997,3,32,0.502
1000,-10,0,0.333
1001,-10,1,0.333
1004,-10,2,0.333
1009,-10,3,0.333
1016,-10,4,0.333
1018,-9,17,0.409
1019,-7,26,0.47
1023,1,32,0.5
1024,0,32,0.5
1025,-10,5,0.332
1026,7,37,0.521
1031,5,34,0.508
1032,-2,32,0.499
1035,9,42,0.538
1036,-10,6,0.332
1041,-8,23,0.451
1049,-10,7,0.331
1051,-3,32,0.498
1052,13,57,0.581
1053,-9,18,0.415
1057,-6,29,0.484
1058,23,115,0.681
1060,24,122,0.69
1062,3,33,0.502
1064,-10,8,0.33
1070,11,49,0.558
1072,-7,27,0.472
1080,6,36,0.513
1081,-10,9,0.33
1086,-5,31,0.491
1088,-8,24,0.455
1089,0,33,0.5
1090,-9,19,0.421
1092,4,34,0.504
1097,-2,33,0.499
1100,-10,10,0.329
1101,7,38,0.519
1106,239,3695,1.172
1114,15,67,0.599
1116,-6,30,0.485
1120,9,43,0.536
1121,-10,11,0.341
1127,-7,28,0.474
1129,-9,20,0.426
1137,-8,25,0.457
1143,21,102,0.657
1144,-10,12,0.353
1148,2,34,0.5
1149,-5,32,0.492
1152,28,152,0.713
1153,-4,33,0.496
1155,1,34,0.5
1156,0,34,0.5
1157,-1,34,0.5
1160,94,912,0.966
1161,4,35,0.504
1163,617,15326,1.365
1164,-2,34,0.5
1167,13,58,0.575
1169,-10,13,0.363
1170,-9,21,0.431
1171,5,36,0.507
1177,-6,31,0.486
1178,7,39,0.518
1183,-3,34,0.498
1184,-7,29,0.476
1185,31,176,0.731
1188,-8,26,0.46
1193,26,137,0.694
1196,-10,14,0.372
1197,39,246,0.777
1198,3,35,0.502
1207,9,44,0.533
1209,10,47,0.542
1211,29,160,0.715
1213,-9,22,0.435
1214,-5,33,0.492
1216,20,96,0.643
1217,2,35,0.5
1220,-4,34,0.496
1224,1,35,0.5
1225,-10,15,0.381
1226,-1,35,0.5
1228,6,38,0.511
1232,4,36,0.504
1233,-2,35,0.5
1240,-6,32,0.487
1241,-8,27,0.463
1243,-7,30,0.477
1244,5,37,0.507
1249,15,68,0.592
1252,-3,35,0.498
1256,-10,16,0.389
1257,7,40,0.517
1258,-9,23,0.439
1260,46,314,0.805
1262,83,757,0.928
1263,97,956,0.961
1269,3,36,0.501
1270,11,51,0.55
1275,25,130,0.681
1279,125,1398,1.012
1281,-5,34,0.493
1284,13,59,0.57
1288,2,36,0.5
1289,-10,17,0.396
1291,45,304,0.798
1295,1,36,0.5
1296,-8,28,0.465
1297,-1,36,0.5
1304,-7,31,0.479
1305,-9,24,0.443
1312,33,193,0.733
1319,5,38,0.506
1321,132,1517,1.019
1323,-3,36,0.499
1324,-10,18,0.402
1328,17,79,0.608
1331,-11,0,0.333
1332,-11,1,0.333
1335,-11,2,0.333
1337,8,43,0.523
1338,7,41,0.516
1339,633,15926,1.344
1340,-11,3,0.333
1342,3,37,0.501
1347,-11,4,0.333
1348,21,103,0.643
1350,-5,35,0.493
1352,14,64,0.577
1353,-8,29,0.467
1354,-9,25,0.446
1356,-11,5,0.332
1360,-4,36,0.497
1361,-10,19,0.408
1367,-11,6,0.332
1368,1,37,0.5
1369,0,37,0.5
1370,-1,37,0.5
1372,-6,34,0.488
1373,11,52,0.547
1376,49,345,0.809
1377,-2,37,0.5
1378,407,8211,1.247
1380,-11,7,0.332
1384,6,40,0.51
1386,15,69,0.585
1387,9,46,0.529
1389,103,1046,0.961
1393,18,85,0.614
1395,-11,8,0.331
1396,-3,37,0.499
1400,-10,20,0.414
1401,10,49,0.537
1403,13,60,0.565
1405,-9,26,0.45
1408,12,56,0.555
1409,20,97,0.631
1412,-11,9,0.331
1417,3,38,0.501
1421,-5,36,0.494
1422,19,91,0.621
1424,8,44,0.521
1431,-11,10,0.33
1432,-7,33,0.481
1433,-4,37,0.497
1436,2,38,0.5
1441,-10,21,0.419
1443,1,38,0.5
1444,0,38,0.5
1445,-1,38,0.5
1448,106,1092,0.961
1452,-11,11,0.329
1457,4,39,0.503
1458,-9,27,0.452
1459,81,730,0.905
1463,137,1604,1.013
1465,6,41,0.509
1468,26,138,0.676
1471,-3,38,0.499
1473,-8,31,0.471
1475,-11,12,0.341
1478,11,53,0.544
1480,9,47,0.527
1481,14,65,0.572
1484,-10,22,0.423
1487,17,80,0.6
1494,-5,37,0.494
1499,-7,34,0.482
1500,-11,13,0.351
1503,61,478,0.843
1506,7,43,0.514
1508,-4,38,0.497
1512,-6,36,0.489
1513,-9,28,0.455
1520,1,39,0.5
1521,0,39,0.5
1522,-1,39,0.5
1524,13,61,0.561
1525,15,70,0.58
1527,-11,14,0.36
1529,-10,23,0.428
1532,29,161,0.693
1536,-8,32,0.472
1537,42,275,0.765
1538,31,177,0.705
1548,-3,39,0.499
1552,24,124,0.656
1555,21,104,0.632
1556,-11,15,0.368
1561,30,169,0.698
1564,18,86,0.606
1568,-7,35,0.483
1569,-5,38,0.494
1570,-9,29,0.458
1573,3,40,0.501
1575,9,48,0.526
1576,-10,24,0.432
1583,1037,33394,1.414
1585,-6,37,0.49
1587,-11,16,0.376
1590,91,869,0.918
1592,2,40,0.5
1593,7,44,0.513
1599,1,40,0.5
1600,0,40,0.5
1601,-8,33,0.474
1604,8,46,0.519
1605,19,92,0.613
1606,267,4363,1.135
1608,-2,40,0.5
1612,14,66,0.567
1617,4,41,0.503
1620,-11,17,0.383
1625,-10,25,0.435
1627,-3,40,0.499
1629,-9,30,0.46
1633,6,43,0.508
1636,12,58,0.549
1639,-7,36,0.484
1646,-5,39,0.495
1647,13,62,0.557
1648,17,81,0.593
1649,98,971,0.929
1654,3,41,0.501
1655,-11,18,0.39
1660,-6,38,0.491
1664,-4,40,0.497
1666,15,71,0.575
1667,53,388,0.804
1668,-8,34,0.475
1672,9,49,0.524
1673,2,41,0.5
1676,-10,26,0.439
1680,1,41,0.5
1681,0,41,0.5
1682,-1,41,0.5
1689,-2,41,0.5
1690,-9,31,0.462
1692,-11,19,0.396
1694,11,55,0.539
1697,8,47,0.518
1699,33,194,0.708
1700,4,42,0.502
1704,10,52,0.531
1708,-3,41,0.499
1712,-7,37,0.485
1718,43,285,0.759
1720,6,44,0.508
1724,5,43,0.505
1725,-5,40,0.495
1728,-12,0,0.333
1729,-12,1,0.333
1731,-11,20,0.402
1732,-12,2,0.333
1736,50,356,0.788
1737,-12,3,0.333
1744,-12,4,0.333
1745,-4,41,0.497
1750,555,13075,1.269
1753,-12,5,0.333
1756,2,42,0.5
1757,23,118,0.639
1763,1,42,0.5
1764,-12,6,0.332
1765,-1,42,0.5
1771,9,50,0.523
1772,-11,21,0.407
1773,7,46,0.512
1777,-12,7,0.332
1784,-10,28,0.445
1785,4,43,0.502
1787,-7,38,0.486
1788,37,229,0.726
1790,19,93,0.605
1791,-3,42,0.499
1792,-12,8,0.332
1796,77,677,0.87
1799,25,132,0.651
1801,20,99,0.613
1802,47,325,0.772
1804,390,7702,1.194
1805,11,56,0.537
1806,-5,41,0.495
1808,-8,36,0.478
1809,-12,9,0.331
1811,5,44,0.504
1815,-11,22,0.412
1816,-6,40,0.492
1818,-9,33,0.466
1820,74,638,0.86
1822,3,43,0.501
1828,-12,10,0.331
1833,16,77,0.578
1835,41,266,0.743
1841,-10,29,0.448
1848,1,43,0.5
1849,-12,11,0.33
1850,-1,43,0.5
1851,349,6520,1.167
1855,29,162,0.676
1857,-2,43,0.5
1860,-11,23,0.416
1864,-7,39,0.486
1866,7,47,0.511
1872,-12,12,0.33
1876,-3,43,0.499
1880,14,68,0.56
1881,-8,37,0.479
1885,-9,34,0.468
1889,-5,42,0.495
1893,31,178,0.687
1896,22,112,0.625
1897,-12,13,0.34
1899,13,64,0.551
1900,-10,30,0.451
1905,34,203,0.704
1907,-11,24,0.421
1909,3,44,0.501
1912,18,88,0.593
1913,-4,43,0.498
1916,10,54,0.528
1918,11,57,0.535
1920,76,664,0.86
1924,-12,14,0.349
1926,27,147,0.66
1928,2,44,0.5
1934,283,4761,1.119
1935,1,44,0.5
1936,0,44,0.5
1937,-1,44,0.5
1943,-7,40,0.487
1944,-2,44,0.5
1948,66,538,0.83
1953,-12,15,0.357
1954,-9,35,0.469
1955,101,1016,0.914
1956,-11,25,0.425
1957,63,502,0.82
1961,-10,31,0.453
1963,-3,44,0.499
1974,-5,43,0.496
1975,9,52,0.521
1976,17,83,0.582
1977,19,94,0.599
1980,-6,42,0.492
1984,-12,16,0.365
1988,8,50,0.515
1991,5,46,0.504
1992,14833,1806523,1.896
1993,6,47,0.507
1994,23,119,0.629
1998,3,45,0.501
2000,-4,44,0.498
